1001,paradigm_shifter,psychology,945.50,16,0
1002,personal_perception_inducer,psychology,230.20,10,0
1003,nonverbal_communication_reader,psychology,824.00,22,0
1004,attitude_reformatter,psychology,1243.35,6,0
2201,mass_accelerator,physics,12320.00,11,0
2202,angular_velocity_redirector,physics,1180.50,9,0
2203,elastic_collision_inhibitor,physics,32540.80,4,0
2204,faraday_ion_transformer,physics,18600.00,14,0
3401,eukaryote_amalgamation_tube,biology,43.82,24,0
3402,ribosome_transporter,biology,98.50,18,0
3403,epigentic_cell_influencer,biology,12100.30,9,0
3404,monocotyledon_reverser,biology,840.21,24,0
